ID,Country,Year,EU original score,UN original score,EU normalised,UN normalised
ALB2018,ALB,2018,44,0.6519,-1.335673122,-1.763164832
AUT2018,AUT,2018,83.875,0.8301,1.244890494,0.536110492
BEL2018,BEL,2018,70.375,0.808,0.371220053,0.250959063
BGR2018,BGR,2018,47.75,0.7177,-1.092986888,-0.914161934
CHE2018,CHE,2018,49.875,0.852,-0.955464689,0.818681365
CYP2018,CYP,2018,57.375,0.7736,-0.470092222,-0.192896555
CZE2018,CZE,2018,62.625,0.7084,-0.130331496,-1.034157785
DEU2018,DEU,2018,64.875,0.8765,0.015280244,1.134799466
DNK2018,DNK,2018,79.875,0.915,0.986025178,1.63155648
EST2018,EST,2018,87.875,0.8486,1.503755809,0.774811915
GRC2018,GRC,2018,50.875,0.7833,-0.89074836,-0.067739593
ESP2018,ESP,2018,74.125,0.8415,0.613906287,0.68320218
FIN2018,FIN,2018,80.25,0.8815,1.010293801,1.199313364
FRA2018,FRA,2018,68.125,0.879,0.225608313,1.167056415
HRV2018,HRV,2018,46.125,0.7018,-1.198150923,-1.11931613
HUN2018,HUN,2018,55.5,0.7265,-0.591435339,-0.800617474
IRL2018,IRL,2018,62.125,0.8287,-0.16268966,0.518046601
ISL2018,ISL,2018,75.375,0.8316,0.694801698,0.555464662
ITA2018,ITA,2018,66.5,0.8209,0.120444279,0.41740492
LTU2018,LTU,2018,81.5,0.7534,1.091189212,-0.453532703
LUX2018,LUX,2018,68,0.8334,0.217518772,0.578689665
LVA2018,LVA,2018,83.625,0.6996,1.228711411,-1.147702245
MNE2018,MNE,2018,39.875,0.6966,-1.602627978,-1.186410584
MKD2018,MKD,2018,37.25,0.6312,-1.772508342,-2.03025237
MLT2018,MLT,2018,96.125,0.8011,2.037665523,0.161929884
NLD2018,NLD,2018,78.875,0.8757,0.921308849,1.124477242
NOR2018,NOR,2018,79.25,0.8557,0.945577472,0.86642165
POL2018,POL,2018,56.5,0.7926,-0.52671901,0.052256257
PRT2018,PRT,2018,79.625,0.8031,0.969846096,0.187735443
ROU2018,ROU,2018,40.25,0.6671,-1.578359355,-1.567042582
SRB2018,SRB,2018,41,0.7155,-1.529822108,-0.94254805
SWE2018,SWE,2018,75.5,0.8882,0.702891239,1.285761987
SVN2018,SVN,2018,63.625,0.7714,-0.065615167,-0.22128267
SVK2018,SVK,2018,54.5,0.7155,-0.656151668,-0.94254805
TUR2018,TUR,2018,63,0.7112,-0.106062872,-0.998030002
GBR2018,GBR,2018,61,0.8999,-0.23549553,1.436724508
ALB2016,ALB,2016,0,0.5331,-2.687014691,-2.061751452
AUT2016,AUT,2016,80.8375,0.8208,1.077358986,0.826769946
BEL2016,BEL,2016,67.5625,0.7874,0.459179793,0.491432391
BGR2016,BGR,2016,43.3875,0.6376,-0.666581564,-1.012566586
CHE2016,CHE,2016,49.21875,0.7525,-0.395036748,0.141034765
CYP2016,CYP,2016,55.60625,0.6023,-0.097588944,-1.36698023
CZE2016,CZE,2016,51.69375,0.6454,-0.279783001,-0.934254222
DEU2016,DEU,2016,65.1875,0.821,0.348582762,0.828777955
DNK2016,DNK,2016,81.4375,0.851,1.105299289,1.129979353
EST2016,EST,2016,86.26875,0.8334,1.330276933,0.953274533
GRC2016,GRC,2016,37.85625,0.691,-0.924156228,-0.476428099
ESP2016,ESP,2016,65.7625,0.8135,0.375358885,0.753477606
FIN2016,FIN,2016,74.46875,0.8817,0.780784317,1.438208782
FRA2016,FRA,2016,66.56875,0.8456,0.412903666,1.075763101
HRV2016,HRV,2016,40.64375,0.7162,-0.794350239,-0.223418925
HUN2016,HUN,2016,33.98125,0.6745,-1.104604015,-0.642088867
IRL2016,IRL,2016,60.33333333,0.7689,0.122537953,0.305691529
ISL2016,ISL,2016,68.95,0.7662,0.523791742,0.278583403
ITA2016,ITA,2016,57.95625,0.7764,0.011843907,0.380991878
LTU2016,LTU,2016,74.7125,0.7747,0.792135064,0.363923799
LUX2016,LUX,2016,60.19375,0.7705,0.116037952,0.321755604
LVA2016,LVA,2016,81.8875,0.681,1.126254516,-0.576828565
MNE2016,MNE,2016,42.175,0.6733,-0.723044258,-0.654136923
MKD2016,MKD,2016,0,0.5885,-2.687014691,-1.505532872
MLT2016,MLT,2016,96.0125,0.7424,1.784015804,0.039630295
NLD2016,NLD,2016,72.95625,0.8659,0.710351471,1.279576046
NOR2016,NOR,2016,77.80625,0.8117,0.936202249,0.735405522
POL2016,POL,2016,52.6125,0.7211,-0.236999412,-0.174222697
PRT2016,PRT,2016,75.84375,0.7144,0.844814177,-0.241491009
ROU2016,ROU,2016,33.575,0.5611,-1.123521928,-1.780630148
SRB2016,SRB,2016,36.5,0.7131,-0.987312953,-0.25454307
SWE2016,SWE,2016,76.35625,0.8704,0.868679852,1.324756256
SVN2016,SVN,2016,55.6375,0.7769,-0.09613372,0.386011902
SVK2016,SVK,2016,39.9875,0.5915,-0.824909945,-1.475412733
TUR2016,TUR,2016,54.525,0.59,-0.147939698,-1.490472802
GBR2016,GBR,2016,58.76666667,0.9193,0.049582719,1.815714533
ALB2014,ALB,2014,0,0.5046,-2.138405075,-1.755559392
AUT2014,AUT,2014,72.84722222,0.7912,0.947582087,0.713014316
BEL2014,BEL,2014,62.93055556,0.7564,0.527487743,0.413271242
BGR2014,BGR,2014,32.43055556,0.5421,-0.76456713,-1.43256039
CHE2014,CHE,2014,41.69444444,0.7267,-0.372126055,0.157456032
CYP2014,CYP,2014,51.59722222,0.5958,0.047379921,-0.970025818
CZE2014,CZE,2014,34.34722222,0.607,-0.683372425,-0.873556783
DEU2014,DEU,2014,56.15277778,0.7864,0.240364438,0.671670444
DNK2014,DNK,2014,73.23611111,0.8162,0.964056375,0.928346984
EST2014,EST,2014,85.55555556,0.818,1.485938284,0.943850936
GRC2014,GRC,2014,26.47222222,0.7118,-1.016976757,0.029117762
ESP2014,ESP,2014,68.16666667,0.841,0.749302264,1.141956991
FIN2014,FIN,2014,74.5,0.8449,1.017597811,1.175548887
FRA2014,FRA,2014,65.88888889,0.8938,0.652810005,1.596739586
HRV2014,HRV,2014,32.63888889,0.6282,-0.755741618,-0.69095468
HUN2014,HUN,2014,25.06944444,0.6637,-1.076401867,-0.385182292
IRL2014,IRL,2014,55.97222222,0.781,0.232715661,0.625158587
ISL2014,ISL,2014,67.52777778,0.797,0.722237362,0.762971495
ITA2014,ITA,2014,48.30555556,0.7593,-0.092063159,0.438249831
LTU2014,LTU,2014,62.41666667,0.7271,0.505718148,0.160901355
LUX2014,LUX,2014,53.54166667,0.7591,0.129751362,0.43652717
LVA2014,LVA,2014,69.76388889,0.7178,0.816964518,0.080797602
MNE2014,MNE,2014,0,0.6346,-2.138405075,-0.635829517
MKD2014,MKD,2014,0,0.472,-2.138405075,-2.036353191
MLT2014,MLT,2014,95.16666667,0.6518,1.893088545,-0.487680642
NLD2014,NLD,2014,61.54166667,0.8897,0.468651,1.561425028
NOR2014,NOR,2014,69.05555556,0.8357,0.786957779,1.096306465
POL2014,POL,2014,54.08333333,0.6482,0.152697691,-0.518688546
PRT2014,PRT,2014,75.05555556,0.69,1.041132508,-0.158652325
ROU2014,ROU,2014,24.73611111,0.5632,-1.090522685,-1.250819618
SRB2014,SRB,2014,32.09722222,0.5472,-0.778687948,-1.388632525
SWE2014,SWE,2014,69.43055556,0.8225,0.8028437,0.982610816
SVN2014,SVN,2014,54.77777778,0.6505,0.182116063,-0.49887794
SVK2014,SVK,2014,22.76388889,0.6148,-1.17407086,-0.806372991
TUR2014,TUR,2014,50.70833333,0.5443,0.009724406,-1.413611115
GBR2014,GBR,2014,46.76388889,0.8695,-0.157371944,1.387436233
